eeschema (2010-05-05 BZR 2356)-stable  >> Creation date: 01/10/11 18:07:10

#Cmp ( order = Value )
| 100          R1        ; RC03        ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      05D16     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      06D01     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      06D02     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      06D03     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      06D04     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      06D05     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      06D06     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      06D07     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      06D08     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      06D09     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      06D10     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      06D11     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      06D12     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      06D13     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      06D14     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      06D15     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      06D16     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      07D01     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      07D02     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      07D03     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      07D04     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      07D05     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      07D06     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      07D07     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      07D08     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      07D09     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      07D10     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      07D11     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      07D12     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      07D13     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      07D14     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      07D15     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      07D16     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      08D01     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      08D02     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      08D03     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      08D04     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      08D05     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      08D06     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      08D07     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      08D08     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      08D09     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      08D10     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      08D11     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      08D12     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      08D13     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      08D14     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      08D15     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      08D16     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      09D01     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      09D02     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      09D03     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      09D04     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
| LED_RGB      09D05     ; 01D01       ;             ;             ;             ;             ;             ;             ;             ;             
